;Sample; M1(wt.%); M2(wt.%);M3(wt.%);M4(wt.%);M5(wt.%);S1(wt.%); S3(wt.%);SNa(wt.%);S3'(wt.%); KOH(wt.%); NaOH(wt.%);n Si met (mol);n Sisol (mol);nMSol (mol);nMMOH(mol);n Si (mol);n Al (mol);nM  (mol);Si (mol. %);Al(mol. %);M(mol. %);Si/M Sol;Si/Al;Solid/Liquid;mixture density(g/cm3);viscosity(Pa.s);material density(g/cm3);compressive strength (MPa)
1;S3SNaM1M2;0,2;0,2;0;0;0;0;0,3;0,3;0;0;0;0,11;0,07;0,07;0;0,18;0,09;0,07;0,53;0,275;0,2;1,05;1,926;0,667;1,843;2,6;-1;-1
2;SNaS3'kM1M5;0,19;0;0;0;0,19;0;0;0,29;0,29;0,06;0;0,11;0,07;0,06;0,03;0,18;0,08;0,09;0,51;0,234;0,26;0,81;2,178;0,587;1,767;0,29;1,709;34
3;S1kSNaM1;0,56;0;0;0;0;0,28;0;0,05;0;0,12;0;0,15;0,03;0,02;0,05;0,18;0,13;0,07;0,47;0,346;0,18;0,39;1,373;1,252;1,916;40,86;1,82;63
4;S1kSNaM1;0,5;0;0;0;0;0,32;0;0,06;0;0,12;0;0,14;0,03;0,02;0,06;0,17;0,12;0,07;0,47;0,326;0,21;0,42;1,433;0,992;1,876;1,85;1,75;50
5;S1kSNaM2;0;0,39;0;0;0;0,39;0;0,14;0;0,08;0;0,11;0,05;0,03;0,04;0,15;0,09;0,06;0,5;0,291;0,21;0,73;1,72;0,642;1,596;2,78;1,56;39
6;S1S3kSNaM1M2M3M4M5;0,38;0,01;0,01;0,01;0,05;0,15;0,33;0,04;0;0,02;0;0,13;0,05;0,06;0,01;0,17;0,11;0,07;0,5;0,309;0,19;0,71;1,627;0,855;1,815;0,99;1,82;53
7;S1S3kSNaM1M2M3M4M5;0,3;0,02;0,01;0,01;0,07;0,05;0,39;0,03;0;0,13;0;0,11;0,04;0,06;0,06;0,16;0,09;0,12;0,42;0,255;0,32;0,37;1,663;0,681;1,879;1,03;1,72;30
8;S3kSNaNaM1M2M5;0,48;0,04;0;0;0,03;0;0,12;0,28;0;0,04;0,02;0,15;0,05;0,04;0,03;0,2;0,13;0,07;0,5;0,318;0,18;0,69;1,574;1,174;1,899;4,28;1,84;71
9;S1kS3SNaM1M2M3;0,12;0,06;0,32;0;0;0,25;0,13;0,02;0;0,1;0;0,14;0,03;0,03;0,05;0,17;0,13;0,08;0,45;0,345;0,2;0,43;1,31;1;1,847;42,36;1,805;11
10;S3kSNaNaM5;0;0;0;0;0,6;0;0,16;0,22;0;0,01;0,01;0,18;0,05;0,04;0,01;0,22;0,12;0,05;0,56;0,311;0,13;0,87;1,801;1,5;2,009;10,12;1,93;74
